CoC Number,CoC Name,Year,Attribute Name,Value,Year - Text
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,15,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,138,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,35,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,9,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,89,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,80,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,6,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,8,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,2,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,31,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,29,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,82,2014
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,64,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Chronically Homeless,1,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,62,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,34,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Homeless People in Families,62,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,6,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,0,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,90,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Total Homeless,96,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,0,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,6,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,0,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,1,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,1,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,0,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,0,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,0,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,0,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,0,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,1,2014
IL-509,Dekalb City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,28,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Chronically Homeless,655,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,2545,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Homeless Individuals,3738,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Homeless People in Families,2549,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,955,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,256,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,5328,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Total Homeless,6287,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,0,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,959,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Homeless Veterans,714,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,234,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,234,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,0,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,421,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,421,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,4,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,458,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,655,2014
IL-510,Chicago CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,2783,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Chronically Homeless,97,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,534,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,643,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Homeless People in Families,539,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,146,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,21,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,1031,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Total Homeless,1182,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,0,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,151,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,105,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,30,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,30,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,0,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,67,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,67,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,5,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,84,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,97,2014
IL-511,Cook County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,497,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless,59,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,394,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Homeless Individuals,219,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Homeless People in Families,450,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,60,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,8,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,553,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Total Homeless,669,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,0,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,116,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Homeless Veterans,52,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,5,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,5,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,0,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,54,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,54,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,56,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,44,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,59,2014
IL-512,Bloomington/Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,159,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Chronically Homeless,52,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,87,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,175,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Homeless People in Families,94,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,14,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,1,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,248,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Total Homeless,269,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,14,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,21,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,25,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,7,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,7,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,14,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,45,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,31,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,7,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,24,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,38,2014
IL-513,Springfield/Sangamon County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,161,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Chronically Homeless,73,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,354,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,300,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Homeless People in Families,354,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,29,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,3,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,625,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Total Homeless,654,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,2,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,29,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,19,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,5,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,5,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,2,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,68,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,66,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,0,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,16,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,71,2014
IL-514,DuPage County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,271,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless,3,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,95,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Homeless Individuals,23,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Homeless People in Families,95,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,4,2014
MA-509,Cambridge CoC,01/01/2014 12:00:00 AM,Homeless Veterans,20,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,0,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,114,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Total Homeless,118,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,0,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,4,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Homeless Veterans,4,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,1,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,1,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,0,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,2,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,2,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,0,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,4,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,3,2014
IL-515,South Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,19,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Chronically Homeless,65,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,91,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,151,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Homeless People in Families,105,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,52,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,8,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,190,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Total Homeless,256,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,19,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,66,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,17,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,4,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,26,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,22,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,15,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,39,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,24,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,14,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,9,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,46,2014
IL-516,Decatur/Macon County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,99,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Chronically Homeless,95,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,95,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,310,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Homeless People in Families,95,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,46,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,6,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,359,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Total Homeless,405,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,3,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,46,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,34,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,21,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,21,2014
MD-507,Cecil County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,142,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,3,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,74,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,71,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,0,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,28,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,92,2014
IL-517,Aurora/Elgin/Kane County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,264,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless,9,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,115,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Homeless Individuals,103,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Homeless People in Families,115,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,1,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,0,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,217,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Total Homeless,218,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,0,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,1,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Homeless Veterans,13,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,0,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,0,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,0,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,9,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,9,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,0,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,13,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,9,2014
IL-518,Rock Island/Moline/Northwestern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,102,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless,6,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,84,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Homeless Individuals,61,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Homeless People in Families,84,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,5,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,0,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,140,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Total Homeless,145,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,2,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,5,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Homeless Veterans,5,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,0,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,0,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,2,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,6,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,4,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,0,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,5,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,4,2014
IL-519,West Central Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,56,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless,39,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,137,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Homeless Individuals,175,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Homeless People in Families,150,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,33,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,5,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,279,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Total Homeless,325,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,11,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,46,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Homeless Veterans,39,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,2,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,21,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,19,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,9,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,18,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,9,2014
IL-520,Southern Illinois CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,13,2014
